"Source","LinkType","Raw","Target","Exists"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","wiki","4-monitoring-and-controlling-process-group|Monitoring and Controlling Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","wiki","5-closing-process-group|Closing Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","wiki","index.md|JASYTI's PMP KB Home","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","wiki","test-prep/index|Test Prep & Tactics",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","wiki","02-pmbok/index|Theory Application",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","wiki","05-tlg/index|Case Studies (6 vs. 7 in Action)",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","wiki","02-pmbok-06/index|PMBOK 6 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","wiki","02-pmbok/7-pmbok/index|PMBOK 7 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","0-pre-project-requirments|Pre-Project Requirements â€“ Before the Project Becomes a Project","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\0-pre-project-requirments.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","1-Initiating-process-group|Initiating Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\1-Initiating-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","2-planning-process-group|Planning Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\2-planning-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","3-executing-process-group|Executing Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\3-executing-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","4-monitoring-and-controlling-process-group|Monitoring and Controlling Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","5-closing-process-group|Closing Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","index.md|JASYTI's PMP KB Home","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","test-prep/index|Test Prep & Tactics",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","02-pmbok/index|Theory Application",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","05-tlg/index|Case Studies (6 vs. 7 in Action)",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","02-pmbok-06/index|PMBOK 6 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","wiki","02-pmbok/7-pmbok/index|PMBOK 7 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","http","https://jasytionline.github.io/r72-pmp-exam-prep-knowledge-base/assets/accepted.jpg",,"True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","md","close.jpg",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","0-pre-project-requirments|Pre-Project Requirements","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\0-pre-project-requirments.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","1-Initiating-process-group|Initiating Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\1-Initiating-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","2-planning-process-group|Planning Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\2-planning-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","3-executing-process-group|Executing Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\3-executing-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","4-monitoring-and-controlling-process-group|Monitoring and Controlling Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","5-closing-process-group|Closing Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","02-pmbok-06/index|PMBOK 6",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","02-pmbok/7-pmbok/index|PMBOK 7",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","content/references|References",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","0-pre-project-requirments|Pre-Project Requirements â€“ Before the Project Becomes a Project","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\0-pre-project-requirments.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","1-Initiating-process-group|Initiating Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\1-Initiating-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","2-planning-process-group|Planning Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\2-planning-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","3-executing-process-group|Executing Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\3-executing-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","4-monitoring-and-controlling-process-group|Monitoring and Controlling Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\4-monitoring-and-controlling-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","5-closing-process-group|Closing Process Group","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\5-closing-process-group.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","index.md|JASYTI's PMP KB Home","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","test-prep/index|Test Prep & Tactics",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","02-pmbok/index|Theory Application",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","05-tlg/index|Case Studies (6 vs. 7 in Action)",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","02-pmbok-06/index|PMBOK 6 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\03-lifecycle\index.md","wiki","02-pmbok/7-pmbok/index|PMBOK 7 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","0-pre-project-requirments|Pre-Project Requirements â€“ Before the Project Becomes a Project",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","1-Initiating-process-group|Initiating Process Group",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","2-planning-process-group|Planning Process Group",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","3-executing-process-group|Executing Process Group",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","4-monitoring-and-controlling-process-group|Monitoring and Controlling Process Group",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","5-closing-process-group|Closing Process Group",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","index.md|JASYTI's PMP KB Home","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","test-prep/index|Test Prep & Tactics",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","02-pmbok/index|Theory Application",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","05-tlg/index|Case Studies (6 vs. 7 in Action)",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","02-pmbok-06/index|PMBOK 6 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\04-ittos\index.md","wiki","02-pmbok/7-pmbok/index|PMBOK 7 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","fubar6.png",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|people,",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|process,",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary| Business Environment",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|value.",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|deliveriables,",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|stakeholders.",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|alignment,",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|purpose,",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|trust.",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|""Project Managers""",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|tailor",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|project management",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|variance",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|baseline",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|Risk Register",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|work package",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|risk-management-plan,",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#Glossary|anomaly.",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#Glossary|accept",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","# Glossary|mitigate",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|lessons learned register",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|decision gate",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|change request",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|quality assurance",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|Monitor and Control",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|Analysis Paralysis",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|workflow.",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|work package",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|mitigate",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|""Risk Acceptance""",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|decision gate",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|Risk Owner.",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|quality assurance",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|variance",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|issue log",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|lessons learned register",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|External Environmental Factors",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|Lessons Learned",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|issue log",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|Risk Management Plan",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|change control board",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|stakeholder engagement plan",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|work breakdown structure",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|procurement management plan",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|Backlog",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|governance",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|confirm",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#Glossary|Sponsor.",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|risk management plan",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|servant leadership",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","#glossary|adaptive approach",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","02-tlg-rp1-agile-manifesto|Meet JASYTI â€“ and learn about the Agile Manifesto","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","02-tlg-rp1-agile-manifesto|The Agile Manifesto","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","02-Understanding Terms|Understanding Terms",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","3-glossary|Glossary",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","index.md|JASYTI's PMP KB Home","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\index.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","01-test-prep/index|Test Prep & Tactics",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","03-lifecycle/index|Lifecycle of a Project",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","02-pmbok/index|Theory Application",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","05-tlg/index|Case Studies (6 vs. 7 in Action)",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","02-pmbok-06/index|PMBOK 6 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\01-tlg-ep0-Pilot.md","wiki","02-pmbok/7-pmbok/index|PMBOK 7 Standards",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","01-test-prep/04-glossary.md|performance baseline",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","01-test-prep/04-glossary.md|schedule",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","01-test-prep/04-glossary.md|stakeholder engagement",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","01-test-prep/04-glossary.md|governance",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","01-test-prep/04-glossary.md|scope creep",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","3-glossary|The Plan",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","3-glossary|value delivery",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","3-glossary|lessons learned",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","3-glossary|sustainable development",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","3-glossary|campfire mode",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","3-glossary|logbook",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","02-tlg-rp1-agile-manifesto|The Agile Manifesto","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","02-Understanding Terms|Understanding Terms",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","3-glossary|Glossary",,"False"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","index.md|JASYTI's PMP KB Home","G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\index.md","True"
"G:\00-repo-vault\s7-learning-center\r71-ttu\3302-cmpa-repo\content\05-tlg\02-tlg-rp1-agile-manifesto.md","wiki","01-test-prep/index|Test Prep & Tactics",,"False"
